iter	Logloss
0	0.4248097854
1	0.3656459606
2	0.3427623243
3	0.32723742
4	0.318677493
5	0.3127658926
6	0.3077874036
7	0.3031646281
8	0.2999743182
9	0.2962835888
10	0.2936051157
11	0.2899271938
12	0.2870169793
13	0.2827909876
14	0.2818197829
15	0.2814819378
16	0.2735987985
17	0.272766594
18	0.2686518904
19	0.267971681
20	0.2568244694
21	0.2521685488
22	0.2488768917
23	0.2401368715
24	0.2359010487
25	0.2329059492
26	0.2244847991
27	0.2215239233
28	0.2193234184
29	0.2142919264
30	0.2107457892
31	0.203875546
32	0.2028306197
33	0.1982521218
34	0.1926502834
35	0.1909147872
36	0.1891781005
37	0.18870169
38	0.1852724329
39	0.1826250305
40	0.1804536815
41	0.1790859207
42	0.1744205523
43	0.1721411581
44	0.1696232857
45	0.1676477601
46	0.1649044535
47	0.1645394226
48	0.1630176145
49	0.159741224
50	0.1576088292
51	0.1565446993
52	0.1547204194
53	0.1495837769
54	0.1443695042
55	0.1418812944
56	0.1371073834
57	0.1351146763
58	0.134550694
59	0.1339398601
60	0.1328455163
61	0.1322240221
62	0.1309434584
63	0.1288636211
64	0.1266443482
65	0.126025454
66	0.1249274926
67	0.1222911633
68	0.1215394897
69	0.1208578629
70	0.1200919415
71	0.1193362988
72	0.1188115184
73	0.1165912399
74	0.1161791767
75	0.1158422525
76	0.1150352143
77	0.1134370766
78	0.1128911831
79	0.1120066952
80	0.110676485
81	0.1095424421
82	0.1089706464
83	0.108516366
84	0.1081780574
85	0.1068557458
86	0.106603535
87	0.1060536856
88	0.1058313881
89	0.10569657
90	0.1054440377
91	0.1052577263
92	0.1050231091
93	0.1039803867
94	0.1027904109
95	0.1005008995
96	0.09999578365
97	0.09839371924
98	0.09736666097
99	0.09681690299
