iter	Passed	Remaining
0	5	507
1	9	469
2	14	474
3	19	456
4	23	451
5	28	442
6	32	430
7	37	430
8	41	421
9	46	415
10	50	409
11	54	402
12	59	399
13	63	392
14	68	385
15	72	380
16	76	374
17	81	370
18	85	365
19	90	360
20	93	353
21	97	346
22	102	343
23	106	337
24	111	333
25	114	326
26	118	321
27	122	315
28	126	310
29	131	305
30	135	302
31	139	297
32	144	293
33	149	289
34	152	284
35	157	279
36	161	274
37	165	269
38	169	264
39	172	259
40	176	254
41	180	249
42	185	245
43	189	241
44	193	236
45	198	232
46	202	228
47	207	224
48	211	220
49	216	216
50	222	213
51	227	210
52	233	206
53	237	202
54	241	197
55	246	193
56	251	189
57	255	185
58	259	180
59	264	176
60	267	171
61	271	166
62	275	161
63	278	156
64	283	152
65	288	148
66	292	144
67	296	139
68	300	135
69	305	130
70	309	126
71	313	121
72	317	117
73	321	112
74	325	108
75	329	104
76	333	99
77	337	95
78	341	90
79	346	86
80	349	82
81	354	77
82	358	73
83	362	69
84	366	64
85	370	60
86	374	55
87	378	51
88	382	47
89	386	42
90	390	38
91	394	34
92	398	30
93	403	25
94	408	21
95	412	17
96	417	12
97	422	8
98	427	4
99	432	0
